高流行度候选目标物品列表：
    Item: 17007 (ID: 17007), Count: 250
    Item: 12072 (ID: 12072), Count: 252
    Item: 4138 (ID: 4138), Count: 253
    Item: 2567 (ID: 2567), Count: 253
    Item: 15544 (ID: 15544), Count: 254
    Item: 13193 (ID: 13193), Count: 254
    Item: 1980 (ID: 1980), Count: 255
    Item: 1488 (ID: 1488), Count: 256
    Item: 776 (ID: 776), Count: 260
    Item: 8715 (ID: 8715), Count: 262
    Item: 9203 (ID: 9203), Count: 262
    Item: 9139 (ID: 9139), Count: 262
    Item: 8183 (ID: 8183), Count: 264
    Item: 12630 (ID: 12630), Count: 265
    Item: 5748 (ID: 5748), Count: 266
    Item: 8249 (ID: 8249), Count: 267
    Item: 9128 (ID: 9128), Count: 268
    Item: 3235 (ID: 3235), Count: 268
    Item: 7252 (ID: 7252), Count: 272
    Item: 10084 (ID: 10084), Count: 273
    Item: 11647 (ID: 11647), Count: 273
    Item: 1740 (ID: 1740), Count: 276
    Item: 2849 (ID: 2849), Count: 278
    Item: 14692 (ID: 14692), Count: 278
    Item: 2969 (ID: 2969), Count: 280
    Item: 12495 (ID: 12495), Count: 280
    Item: 4487 (ID: 4487), Count: 281
    Item: 8516 (ID: 8516), Count: 282
    Item: 16975 (ID: 16975), Count: 283
    Item: 57 (ID: 57), Count: 284
    Item: 3614 (ID: 3614), Count: 284
    Item: 15530 (ID: 15530), Count: 285
    Item: 10025 (ID: 10025), Count: 286
    Item: 14885 (ID: 14885), Count: 287
    Item: 4149 (ID: 4149), Count: 290
    Item: 11437 (ID: 11437), Count: 292
    Item: 14536 (ID: 14536), Count: 294
    Item: 8484 (ID: 8484), Count: 297
    Item: 13929 (ID: 13929), Count: 298
    Item: 17456 (ID: 17456), Count: 299
    Item: 4896 (ID: 4896), Count: 300
    Item: 6572 (ID: 6572), Count: 300
    Item: 5413 (ID: 5413), Count: 300
    Item: 11522 (ID: 11522), Count: 304
    Item: 8710 (ID: 8710), Count: 304
    Item: 16077 (ID: 16077), Count: 306
    Item: 4695 (ID: 4695), Count: 308
    Item: 6188 (ID: 6188), Count: 309
    Item: 13447 (ID: 13447), Count: 311
    Item: 13072 (ID: 13072), Count: 314
    Item: 19731 (ID: 19731), Count: 314
    Item: 15335 (ID: 15335), Count: 314
    Item: 13358 (ID: 13358), Count: 317
    Item: 2033 (ID: 2033), Count: 322
    Item: 19572 (ID: 19572), Count: 325
    Item: 17959 (ID: 17959), Count: 325
    Item: 1911 (ID: 1911), Count: 328
    Item: 17122 (ID: 17122), Count: 328
    Item: 17534 (ID: 17534), Count: 334
    Item: 10576 (ID: 10576), Count: 334
    Item: 13232 (ID: 13232), Count: 336
    Item: 11984 (ID: 11984), Count: 337
    Item: 12352 (ID: 12352), Count: 338
    Item: 6875 (ID: 6875), Count: 343
    Item: 13658 (ID: 13658), Count: 344
    Item: 12203 (ID: 12203), Count: 345
    Item: 17318 (ID: 17318), Count: 347
    Item: 18143 (ID: 18143), Count: 347
    Item: 10948 (ID: 10948), Count: 354
    Item: 3195 (ID: 3195), Count: 356
    Item: 14032 (ID: 14032), Count: 367
    Item: 13568 (ID: 13568), Count: 397
    Item: 3612 (ID: 3612), Count: 399
    Item: 1846 (ID: 1846), Count: 401
    Item: 16886 (ID: 16886), Count: 403
    Item: 15881 (ID: 15881), Count: 404
    Item: 6810 (ID: 6810), Count: 413
    Item: 6245 (ID: 6245), Count: 414
    Item: 17383 (ID: 17383), Count: 429
    Item: 16255 (ID: 16255), Count: 433
    Item: 2259 (ID: 2259), Count: 434
    Item: 17114 (ID: 17114), Count: 437
    Item: 13296 (ID: 13296), Count: 454
    Item: 16944 (ID: 16944), Count: 473
    Item: 12327 (ID: 12327), Count: 476
    Item: 1921 (ID: 1921), Count: 492
    Item: 7607 (ID: 7607), Count: 493
    Item: 873 (ID: 873), Count: 493
    Item: 15253 (ID: 15253), Count: 502
    Item: 11097 (ID: 11097), Count: 502
    Item: 15312 (ID: 15312), Count: 503
    Item: 680 (ID: 680), Count: 505
    Item: 18361 (ID: 18361), Count: 519
    Item: 7586 (ID: 7586), Count: 524
    Item: 9512 (ID: 9512), Count: 564
    Item: 16537 (ID: 16537), Count: 584
    Item: 6539 (ID: 6539), Count: 590
    Item: 15775 (ID: 15775), Count: 599
    Item: 3260 (ID: 3260), Count: 604
    Item: 16981 (ID: 16981), Count: 640
